relpath,file_name,domain_from_path,doc_class_from_path,subgroup,size_bytes,sha256,page_count,text_chars,chars_per_page,pages_with_text,empty_page_ratio,extractable,devanagari_chars,latin_chars,devanagari_share,function_word_ratio,replacement_char_rate,text_quality,language,has_outline,outline_entries,images_total,pdf_title,pdf_producer,pdf_creation_date,encrypted,years_in_name,error,probe_section_headings,probe_section_word,probe_rule_word,probe_chapter,probe_subsection,probe_clause,probe_form,probe_schedule,probe_fee_marker
"Geographical Indications/Rules/The Geographical Indications of Goods (Registration and Protection) (Amendment) Rules, 2020.pdf","The Geographical Indications of Goods (Registration and Protection) (Amendment) Rules, 2020.pdf",GEOGRAPHICAL_INDICATION,RULES,Rules,1314933,b7918cf2110899cb5ff1612c08bdb39d37b0d45babbfc2aac9c66a63c3a30d15,7,14912,2130.3,7,0.0,True,3851,5187,0.426,0.4116,0.0,GOOD,BILINGUAL_HI_EN,False,0,0,,iTextSharp™ 5.5.13.1 ©2000-2019 iText Group NV (AGPL-version),D:20200826202233+05'30',False,2020,,8,10,4,0,31,0,0,0,2
"Geographical Indications/Rules/The Geographical Indications of Goods (Registration and Protection) (Amendment) Rules, 2025.pdf","The Geographical Indications of Goods (Registration and Protection) (Amendment) Rules, 2025.pdf",GEOGRAPHICAL_INDICATION,RULES,Rules,765588,2ae4225d806162e3a4303d02e9187f55e11af3a579813319e398fc1009a0889e,8,18896,2362.0,8,0.0,True,5934,6951,0.461,0.4327,0.0,GOOD,BILINGUAL_HI_EN,False,0,0,,iTextSharp™ 5.5.13.1 ©2000-2019 iText Group NV (AGPL-version),D:20251107154312+05'30',False,2025,,40,4,0,0,12,4,0,1,2
"Patents/Acts/THE JAN VISHWAS (AMENDMENT OF PROVISIONS) ACT, 2023 English2.pdf","THE JAN VISHWAS (AMENDMENT OF PROVISIONS) ACT, 2023 English2.pdf",PATENT,ACT,Acts,1603630,c728e2f2de608e69e707a36876e823db447656406dafd2c19b2455a528d0b2eb,2,2398,1199.0,2,0.0,True,557,880,0.388,0.3923,0.0,GOOD,BILINGUAL_HI_EN,False,0,0,,iTextSharp™ 5.5.13.1 ©2000-2019 iText Group NV (AGPL-version),D:20240726154026+05'30',False,2023,,0,1,0,0,1,0,0,0,0
"Patents/Acts/THE JAN VISHWAS (AMENDMENT OF PROVISIONS) ACT, 2023,English1.pdf","THE JAN VISHWAS (AMENDMENT OF PROVISIONS) ACT, 2023,English1.pdf",PATENT,ACT,Acts,293682,23cb77f3b4905932d5ca94179eac97e48e27b01b2a1b70a7e57d3900b0ed1222,72,134053,1861.8,72,0.0,True,9,101517,0.0,0.5032,0.0,GOOD,ENGLISH,False,0,1,,iTextSharp™ 5.5.13.1 ©2000-2019 iText Group NV (AGPL-version),D:20230812020308+05'30',False,2023,,42,15,0,2,488,163,0,2,0
Patents/Acts/The Patents (Amendment) Act - 25 June 2002.pdf,The Patents (Amendment) Act - 25 June 2002.pdf,PATENT,ACT,Acts,1584715,6b2afe2aafce7bf2b18a96ea52f2e28849f2cf07dd7cb4af10bfe48609c9b14e,24,23,1.0,0,1.0,False,0,0,0.0,0.0,0.0,NO_TEXT_LAYER,,False,0,25,pat_act02,Acrobat PDFWriter 3.02 for Windows NT,D:20020820114148,False,2002,,0,0,0,0,0,0,0,0,0
Patents/Acts/The Patents (Amendment) Act - 25 June 20021.pdf,The Patents (Amendment) Act - 25 June 20021.pdf,PATENT,ACT,Acts,431759,943f2afea493474af3fe3cf8b9ce7f456757616ee57083d6ce32a02c3a33914e,64,217882,3404.4,64,0.0,True,0,173058,0.0,0.527,0.0,GOOD,ENGLISH,False,0,1,patent act 1977-3-99,Acrobat Distiller 9.0.0 (Windows),D:20151217125635+05'30',False,,,344,11,0,47,337,55,0,2,33
Patents/Acts/The Patents (Amendment) Act - 26 March 1999.pdf,The Patents (Amendment) Act - 26 March 1999.pdf,PATENT,ACT,Acts,272884,0f695279f51c088eb299904a6acc29c8c6f931f5fc436556a3fedb0801b578e3,5,4,0.8,0,1.0,False,0,0,0.0,0.0,0.0,NO_TEXT_LAYER,,False,0,5,99,Acrobat PDFWriter 3.02 for Windows,23/mm/2002 5:50:22 PM,False,1999,,0,0,0,0,0,0,0,0,0
Patents/Acts/The Patents (Amendment) Act 2005.pdf,The Patents (Amendment) Act 2005.pdf,PATENT,ACT,Acts,146570,886f40bbaffa36f6cbf8ac51c0716e4ae9f88a19d9e910d4f8928488647079dd,18,60361,3353.4,18,0.0,True,0,45394,0.0,0.5297,0.0,GOOD,ENGLISH,False,0,1,Microsoft Word - GAZETTE OF INDIA,Acrobat Distiller 7.0 (Windows),D:20050411162929+05'30',False,2005,,98,4,0,3,24,138,0,0,0
"Patents/Acts/The Patents (Amendment) Act, 2002 (38 of 2002).pdf","The Patents (Amendment) Act, 2002 (38 of 2002).pdf",PATENT,ACT,Acts,1584715,6b2afe2aafce7bf2b18a96ea52f2e28849f2cf07dd7cb4af10bfe48609c9b14e,24,23,1.0,0,1.0,False,0,0,0.0,0.0,0.0,NO_TEXT_LAYER,,False,0,25,pat_act02,Acrobat PDFWriter 3.02 for Windows NT,D:20020820114148,False,2002,,0,0,0,0,0,0,0,0,0
Patents/Acts/The Patents Act 1970 (incorporating all amendments till 11-03-2015).pdf,The Patents Act 1970 (incorporating all amendments till 11-03-2015).pdf,PATENT,ACT,Acts,4115033,5cf3c6a0802f462d43969415d5129c1e3aa7eb73144668d1d0fb95efcb809846,109,229839,2108.6,109,0.0,True,0,175761,0.0,0.5262,0.0,GOOD,ENGLISH,False,0,218,,Microsoft® Word 2010,D:20130201141032+05'30',False,1970;2015,,231,12,0,49,262,351,0,1,27
